Symbol,Company Name,Market Cap,% Change,Volume,Revenue
MEOH,Methanex Corporation,2.86B,0.26%,10,3.72B
MTRN,Materion Corporation,2.73B,1.53%,54890,1.67B
TFPM,Triple Flag Precious Metals Corp.,2.70B,-0.15%,117992,204.02M
MP,MP Materials Corp.,2.69B,3.60%,3691964,253.45M
SLVM,Sylvamo Corporation,2.55B,1.81%,338087,3.72B
TROX,Tronox Holdings plc,2.50B,6.20%,1276001,2.85B
HL,Hecla Mining Company,2.47B,4.56%,7944737,720.23M
EGO,Eldorado Gold Corporation,2.46B,1.15%,1133872,1.01B
MTX,Minerals Technologies Inc.,2.36B,1.06%,102248,2.17B
HBM,Hudbay Minerals Inc.,2.23B,1.92%,2119180,1.69B
TGLS,Tecnoglass Inc.,2.12B,1.08%,333310,833.27M
SCL,Stepan Company,1.94B,1.40%,32960,2.33B
ERO,Ero Copper Corp.,1.79B,-1.35%,310204,427.48M
NGVT,Ingevity Corporation,1.65B,-0.20%,172862,1.69B
SGML,Sigma Lithium Corporation,1.60B,-3.38%,1176,129.93M
USLM,"United States Lime & Minerals, Inc.",1.57B,2.70%,22053,281.33M
AG,First Majestic Silver Corp.,1.52B,4.12%,7307587,573.80M
IAG,IAMGOLD Corporation,1.48B,2.67%,8001418,987.10M
EQX,Equinox Gold Corp.,1.48B,-,1891369,1.09B
HWKN,"Hawkins, Inc.",1.47B,0.30%,95831,924.29M
WS,"Worthington Steel, Inc.",1.40B,3.98%,375085,-
SAND,Sandstorm Gold Ltd.,1.39B,1.96%,1917109,179.64M
GPRE,Green Plains Inc.,1.34B,-,563952,3.30B
OEC,Orion Engineered Carbons S.A.,1.28B,1.09%,160960,1.89B
CGAU,Centerra Gold Inc.,1.23B,3.45%,312862,1.09B
CDE,"Coeur Mining, Inc.",1.19B,3.91%,7910236,821.21M
ORLA,Orla Mining Ltd.,1.17B,-1.32%,503707,227.46M
KALU,Kaiser Aluminum Corporation,1.16B,3.78%,131345,3.09B
SA,Seabridge Gold Inc.,1.16B,5.54%,855773,-
KOP,Koppers Holdings Inc.,1.12B,-0.94%,80999,2.15B
ECVT,Ecovyst Inc.,1.07B,1.10%,691970,691.12M
CENX,Century Aluminum Company,1.05B,4.69%,13596,2.20B
NGD,New Gold Inc.,1.01B,4.76%,5090630,786.50M
KRO,"Kronos Worldwide, Inc.",994.98M,16.65%,592406,1.67B
FSM,Fortuna Silver Mines Inc.,993.35M,5.88%,8797860,842.43M
MATV,"Mativ Holdings, Inc.",985.56M,1.34%,270753,2.03B
LOMA,Loma Negra Compañía Industrial Argentina SA,956.72M,-3.54%,896062,822.75M
METC,"Ramaco Resources, Inc.",946.67M,-0.68%,2552,626.02M
MAG,MAG Silver Corp.,941.98M,0.66%,870963,-
SXC,"SunCoke Energy, Inc.",917.35M,2.53%,611999,2.06B
NEXA,Nexa Resources S.A.,916.48M,-,54506,2.57B
PRM,"Perimeter Solutions, SA",912.29M,2.45%,464258,322.11M
SSRM,SSR Mining Inc.,907.04M,2.28%,12593,1.43B
CMP,"Compass Minerals International, Inc.",904.30M,0.82%,615797,1.19B
MTUS,Metallus Inc.,895.35M,1.95%,32,1.36B
NG,NovaGold Resources Inc.,873.22M,5.24%,3614511,-
LAC,Lithium Americas Corp.,864.63M,-0.37%,2384501,-
ASTL,Algoma Steel Group Inc.,838.55M,2.41%,387,2.14B
GSM,Ferroglobe PLC,836.89M,4.13%,2676748,1.65B
SILV,SilverCrest Metals Inc.,820.90M,-0.71%,2441593,224.60M
LAAC,Lithium Americas (Argentina) Corp.,820.16M,-4.13%,1767597,-
WLKP,Westlake Chemical Partners LP,798.50M,1.08%,21702,1.19B
BIOX,Bioceres Crop Solutions Corp.,789.23M,-0.61%,22299,450.32M
REX,REX American Resources Corporation,778.39M,1.66%,61001,845.94M
LVRO,Lavoro Limited,768.45M,4.60%,2534,1.90B
ZEUS,"Olympic Steel, Inc.",736.64M,5.27%,114582,2.16B
ASIX,AdvanSix Inc.,718.23M,1.43%,80193,1.53B
UAN,"CVR Partners, LP",692.73M,5.89%,52118,681.48M
DRD,DRDGOLD Limited,683.17M,2.91%,441342,16.87M
NFGC,New Found Gold Corp.,662.22M,0.87%,479354,-
MERC,Mercer International Inc.,660.59M,-0.50%,7,1.99B
CLW,Clearwater Paper Corporation,641.72M,0.10%,232192,2.08B
METCB,"Ramaco Resources, Inc.",583.28M,2.11%,22648,626.02M
HDSN,"Hudson Technologies, Inc.",545.12M,-18.50%,1472,291.61M
ODC,Oil-Dri Corporation of America,538.88M,2.69%,15157,429.92M
LXU,"LSB Industries, Inc.",534.36M,3.15%,744446,593.71M
GATO,"Gatos Silver, Inc.",527.51M,5.05%,378776,-
CPAC,Cementos Pacasmayo S.A.A.,514.59M,6.63%,20164,525.63M
LWLG,"Lightwave Logic, Inc.",513.69M,1.65%,141,40.50K
LZM,Lifezone Metals Limited,496.53M,1.33%,50365,3.99M
TMC,TMC the metals company Inc.,481.00M,9.79%,9142,-
SVM,Silvercorp Metals Inc.,479.34M,2.25%,2623674,206.65M
TGB,Taseko Mines Limited,473.51M,1.86%,2526028,349.55M
IAUX,i-80 Gold Corp.,460.86M,3.42%,2013147,40.72M
ARMN,Aris Mining Corporation,438.31M,2.58%,439472,-
SKE,Skeena Resources Limited,410.50M,1.56%,147981,-
MUX,McEwen Mining Inc.,393.18M,1.90%,641310,135.79M
VHI,"Valhi, Inc.",390.95M,7.13%,24013,1.98B
EXK,Endeavour Silver Corp.,373.44M,2.14%,6028480,236.95M
AVD,American Vanguard Corporation,319.70M,2.87%,209316,567.17M
IPX,IperionX Limited,308.23M,4.38%,43215,-
IPI,"Intrepid Potash, Inc.",298.39M,5.84%,198401,279.08M
PLL,Piedmont Lithium Inc.,276.86M,2.22%,2082,39.82M
VZLA,Vizsla Silver Corp.,273.45M,0.85%,298110,-
GROY,Gold Royalty Corp.,269.59M,-,835878,2.61M
FF,FutureFuel Corp.,249.89M,0.70%,139821,394.06M
MTA,Metalla Royalty & Streaming Ltd.,246.15M,1.46%,386485,2.91M
GAU,Galiano Gold Inc.,242.97M,-1.77%,641279,-
RYAM,Rayonier Advanced Materials Inc.,242.95M,1.60%,396720,1.64B
MSB,Mesabi Trust,241.67M,1.94%,28612,14.46M
PPTA,Perpetua Resources Corp.,239.78M,2.99%,1,-
WRN,Western Copper and Gold Corporation,239.00M,0.71%,190909,-
SLI,Standard Lithium Ltd.,225.86M,-3.13%,579368,-
NMG,Nouveau Monde Graphite Inc.,224.75M,-,51217,-
CMCL,Caledonia Mining Corporation Plc,202.31M,1.84%,25599,141.83M
IONR,ioneer Ltd,199.00M,5.60%,16303,-
GEVO,"Gevo, Inc.",197.91M,3.42%,61269,17.20M
EMX,EMX Royalty Corporation,193.04M,-1.16%,133995,12.48M
NEWP,New Pacific Metals Corp.,192.68M,2.86%,179296,-
ODV,Osisko Development Corp.,191.58M,3.64%,136061,32.55M
USAP,"Universal Stainless & Alloy Products, Inc.",189.40M,-1.42%,52186,262.36M
CTGO,"Contango Ore, Inc.",187.20M,-1.86%,22084,-
DC,Dakota Gold Corp.,184.76M,0.47%,109821,-
AMLI,American Lithium Corp.,176.02M,4.14%,8413,-
DNMR,"Danimer Scientific, Inc.",171.44M,8.97%,1719514,51.06M
TSE,Trinseo PLC,169.27M,8.93%,337469,3.68B
ALTO,"Alto Ingredients, Inc.",167.51M,-,40709,1.28B
CMT,"Core Molding Technologies, Inc.",167.22M,-0.98%,32140,370.40M
ATLX,Atlas Lithium Corporation,167.18M,3.13%,48690,620.00
SMID,Smith-Midland Corporation,160.93M,2.87%,10507,57.68M
NAK,Northern Dynasty Minerals Ltd.,154.17M,2.94%,1099378,-
NWGL,Nature Wood Group Limited,151.60M,-37.08%,550,55.34M
GLDG,GoldMining Inc.,148.79M,5.99%,440543,-
