Symbol,Company Name,Market Cap,% Change,Volume,Revenue
LPLA,LPL Financial Holdings Inc.,19.74B,0.77%,6,10.05B
HBAN,Huntington Bancshares Incorporated,19.63B,-0.15%,147564,6.96B
CBOE,"Cboe Global Markets, Inc.",19.41B,-2.03%,1300907,3.77B
PFG,"Principal Financial Group, Inc.",19.04B,-0.94%,1314913,13.67B
NMR,"Nomura Holdings, Inc.",18.76B,1.13%,2055299,10.09B
CINF,Cincinnati Financial Corporation,18.41B,-0.48%,603,10.01B
RF,Regions Financial Corporation,17.97B,1.19%,8692064,7.02B
SHG,"Shinhan Financial Group Co., Ltd.",17.81B,2.38%,88707,7.06B
FDS,FactSet Research Systems Inc.,17.80B,0.50%,119638,2.12B
CG,The Carlyle Group Inc.,17.26B,2.04%,10311,2.96B
SYF,Synchrony Financial,16.97B,0.75%,2969097,7.66B
NTRS,Northern Trust Corporation,16.78B,1.73%,1987327,6.75B
L,Loews Corporation,16.77B,-0.49%,397946,15.90B
TPG,TPG Inc.,16.55B,0.40%,549424,2.39B
BAM,Brookfield Asset Management Inc.,16.47B,0.76%,782907,4.05B
EG,"Everest Group, Ltd.",16.05B,-0.72%,363991,14.59B
CFG,"Citizens Financial Group, Inc.",15.51B,0.98%,6072819,7.54B
CRBG,"Corebridge Financial, Inc.",14.80B,2.19%,6278514,18.88B
BEN,"Franklin Resources, Inc.",14.66B,0.43%,2579735,7.87B
FNF,"Fidelity National Financial, Inc.",14.19B,-1.08%,1728483,11.75B
RYAN,"Ryan Specialty Holdings, Inc.",14.12B,0.20%,470411,2.08B
KEY,KeyCorp,13.98B,-0.13%,15240958,5.89B
BAP,Credicorp Ltd.,13.92B,0.78%,227858,3.90B
XP,XP Inc.,13.43B,0.32%,15875,3.05B
MORN,"Morningstar, Inc.",13.40B,0.17%,8,2.04B
KNSL,"Kinsale Capital Group, Inc.",12.38B,-2.74%,214453,1.22B
RNR,RenaissanceRe Holdings Ltd.,12.03B,0.03%,198192,9.13B
RGA,"Reinsurance Group of America, Incorporated",12.03B,0.37%,246351,18.57B
GL,Globe Life Inc.,12.00B,-0.71%,444504,5.45B
ARCC,Ares Capital Corporation,11.91B,0.34%,24340,2.61B
CNA,CNA Financial Corporation,11.82B,-1.40%,151564,13.30B
BCH,Banco de Chile,11.63B,0.13%,124066,3.21B
ALLY,Ally Financial Inc.,11.10B,1.33%,2274409,8.21B
EQH,"Equitable Holdings, Inc.",11.07B,1.11%,2655600,10.53B
EWBC,"East West Bancorp, Inc.",10.80B,-0.35%,17843,2.48B
AFG,"American Financial Group, Inc.",10.75B,-0.02%,220677,7.83B
UWMC,UWM Holdings Corporation,10.51B,1.39%,803145,1.31B
AEG,Aegon N.V.,10.36B,1.56%,2569611,-11.08B
UNM,Unum Group,9.84B,1.56%,937961,12.39B
AIZ,"Assurant, Inc.",9.30B,-0.52%,162031,11.13B
JEF,Jefferies Financial Group Inc.,9.11B,1.92%,1106077,4.70B
SEIC,SEI Investments Company,9.04B,0.53%,370204,1.92B
BSAC,Banco Santander-Chile,8.96B,-2.19%,498562,2.19B
PRI,"Primerica, Inc.",8.66B,-1.29%,79206,2.82B
HLI,"Houlihan Lokey, Inc.",8.61B,-0.33%,237269,1.84B
WF,Woori Financial Group Inc.,8.42B,1.99%,30268,8.25B
WBS,Webster Financial Corporation,8.38B,-0.29%,806140,2.50B
FHN,First Horizon Corporation,8.38B,0.60%,5138405,3.21B
ORI,Old Republic International Corporation,8.17B,0.24%,1805719,7.26B
CIB,Bancolombia S.A.,8.05B,-0.06%,163014,4.25B
MKTX,MarketAxess Holdings Inc.,7.87B,0.63%,312184,752.55M
FUTU,Futu Holdings Limited,7.84B,-0.79%,37481,1.27B
SF,Stifel Financial Corp.,7.75B,0.65%,293432,4.35B
EVR,Evercore Inc.,7.51B,0.11%,370083,2.43B
CFR,Cullen Frost Bankers Inc.,7.13B,-0.99%,262980,1.94B
SOFI,"SoFi Technologies, Inc.",7.10B,0.95%,1750574,2.12B
IVZ,Invesco Ltd.,7.07B,-0.51%,4061933,5.72B
VOYA,"Voya Financial, Inc.",6.91B,-0.09%,857212,7.35B
CACC,Credit Acceptance Corporation,6.91B,2.15%,2661,1.90B
CMA,Comerica Incorporated,6.90B,1.70%,2247020,3.50B
CBSH,"Commerce Bancshares, Inc.",6.83B,-0.83%,2000,1.54B
RLI,RLI Corp.,6.68B,-1.45%,113124,1.51B
WAL,Western Alliance Bancorporation,6.61B,-0.46%,1662929,2.56B
PNFP,"Pinnacle Financial Partners, Inc.",6.50B,0.28%,241883,1.60B
SSB,SouthState Corporation,6.43B,-0.20%,287082,1.63B
SIGI,"Selective Insurance Group, Inc.",6.37B,0.35%,156828,4.23B
ZION,"Zions Bancorporation,NA",6.20B,0.53%,2032,2.98B
BPOP,"Popular, Inc.",6.10B,1.09%,7729,2.57B
WTFC,Wintrust Financial Corporation,6.00B,-1.60%,341009,2.16B
FAF,First American Financial Corporation,5.97B,-1.94%,1199511,6.00B
PB,"Prosperity Bancshares, Inc.",5.94B,0.52%,350104,1.09B
MARA,"Marathon Digital Holdings, Inc.",5.90B,-3.63%,1899446,387.51M
OBDC,Blue Owl Capital Corporation,5.88B,-,1949031,1.58B
HLNE,Hamilton Lane Incorporated,5.86B,1.63%,5354,489.97M
SNV,Synovus Financial Corp.,5.81B,-0.05%,946373,2.03B
OMF,"OneMain Holdings, Inc.",5.80B,1.12%,636400,2.56B
ESNT,Essent Group Ltd.,5.75B,0.24%,436682,1.11B
BOKF,BOK Financial Corporation,5.74B,-0.45%,5703,2.02B
MTG,MGIC Investment Corporation,5.38B,-1.05%,1810460,1.16B
FSK,FS KKR Capital Corp.,5.30B,1.58%,2022300,1.83B
AMG,"Affiliated Managers Group, Inc.",5.21B,0.71%,77881,2.06B
JHG,Janus Henderson Group plc,5.21B,-0.89%,825953,2.10B
FCFS,"FirstCash Holdings, Inc",5.19B,-0.35%,1233,3.15B
AXS,AXIS Capital Holdings Limited,5.12B,0.43%,369207,5.64B
CADE,Cadence Bank,5.12B,-0.88%,667743,1.65B
AGO,Assured Guaranty Ltd.,5.06B,0.02%,207274,1.37B
OZK,Bank OZK,4.96B,0.09%,392,1.79B
FNB,F.N.B. Corporation,4.94B,-0.65%,960658,1.50B
ONB,Old National Bancorp,4.91B,-0.06%,196,1.78B
HOMB,"Home Bancshares, Inc. (Conway, AR)",4.81B,-0.17%,620202,984.75M
WU,The Western Union Company,4.76B,2.40%,3645957,4.36B
UBSI,"United Bankshares, Inc.",4.73B,0.92%,2,1.02B
THG,"The Hanover Insurance Group, Inc.",4.70B,-0.43%,108333,5.99B
BNRE,Brookfield Reinsurance Ltd.,4.69B,1.54%,5991,6.25B
COOP,Mr. Cooper Group Inc.,4.68B,-0.52%,9657,1.79B
