Symbol,Company Name,Market Cap,% Change,Volume,Revenue
VIPS,Vipshop Holdings Limited,9.47B,-1.52%,2981767,15.92B
CCK,"Crown Holdings, Inc.",9.40B,2.37%,871867,12.01B
SKX,"Skechers U.S.A., Inc.",9.32B,0.54%,1286107,8.00B
LNW,"Light & Wonder, Inc.",9.15B,1.04%,594651,2.90B
CZR,"Caesars Entertainment, Inc.",9.01B,1.71%,14921,11.53B
BIRK,Birkenstock Holding plc,8.99B,0.44%,164702,1.69B
XPEV,XPeng Inc.,8.77B,-1.56%,10948162,3.13B
MUSA,Murphy USA Inc.,8.70B,1.69%,101612,21.53B
MTN,"Vail Resorts, Inc.",8.68B,-1.15%,453398,2.87B
GNTX,Gentex Corporation,8.59B,0.43%,6102,2.30B
NCLH,Norwegian Cruise Line Holdings Ltd.,8.36B,-2.00%,13630109,8.55B
CHDN,Churchill Downs Incorporated,8.27B,1.04%,1935,2.46B
LAD,"Lithia Motors, Inc.",8.17B,-0.87%,196132,31.04B
AS,"Amer Sports, Inc.",8.13B,-14.25%,1439044,4.37B
ETSY,"Etsy, Inc.",8.13B,-0.31%,11354,2.75B
LEA,Lear Corporation,8.11B,2.22%,733104,23.47B
PVH,PVH Corp.,8.08B,0.06%,674896,9.22B
GPK,Graphic Packaging Holding Company,7.97B,2.80%,2610131,9.43B
SN,"SharkNinja, Inc.",7.76B,0.54%,850033,4.25B
MHK,"Mohawk Industries, Inc.",7.64B,1.33%,376037,11.14B
CROX,"Crocs, Inc.",7.50B,3.00%,10426,3.96B
CHWY,"Chewy, Inc.",7.45B,1.39%,5164021,11.01B
BWA,BorgWarner Inc.,7.43B,1.06%,3948539,14.20B
LEVI,Levi Strauss & Co.,7.28B,0.27%,1745004,6.18B
W,Wayfair Inc.,7.19B,0.03%,2084311,12.00B
HAS,"Hasbro, Inc.",7.18B,0.04%,12997,5.00B
LCID,"Lucid Group, Inc.",7.17B,-2.19%,646686,595.27M
GPS,"The Gap, Inc.",7.17B,1.42%,18441167,14.83B
CAVA,"CAVA Group, Inc.",7.04B,4.17%,2681092,728.70M
MAT,"Mattel, Inc.",6.91B,0.83%,789,5.22B
BERY,"Berry Global Group, Inc.",6.84B,-1.07%,2124724,12.46B
ALSN,"Allison Transmission Holdings, Inc.",6.82B,-1.10%,617716,3.04B
BFAM,Bright Horizons Family Solutions Inc.,6.76B,1.10%,222281,2.42B
HRB,"H&R Block, Inc.",6.75B,-1.47%,913199,3.49B
MMYT,MakeMyTrip Limited,6.60B,0.08%,658103,728.16M
ANF,Abercrombie & Fitch Co.,6.58B,-5.34%,3467054,4.03B
CART,Maplebear Inc.,6.47B,2.29%,3165,3.04B
DDS,"Dillard's, Inc.",6.41B,0.48%,110606,6.87B
BROS,Dutch Bros Inc.,6.34B,-0.47%,1418839,965.78M
VFC,V.F. Corporation,6.26B,1.71%,4577572,10.82B
TMHC,Taylor Morrison Home Corporation,6.22B,2.58%,893372,7.42B
WH,"Wyndham Hotels & Resorts, Inc.",6.18B,1.91%,458305,1.40B
BYD,Boyd Gaming Corporation,6.14B,1.38%,666644,3.74B
BC,Brunswick Corporation,6.10B,1.95%,377149,6.40B
REYN,Reynolds Consumer Products Inc.,6.10B,-1.30%,761333,3.76B
AN,"AutoNation, Inc.",6.05B,1.76%,217053,26.95B
CHH,"Choice Hotels International, Inc.",6.00B,0.85%,752804,1.54B
RRR,"Red Rock Resorts, Inc.",5.91B,1.95%,228029,1.72B
WHR,Whirlpool Corporation,5.89B,1.75%,1069855,19.46B
PLNT,"Planet Fitness, Inc.",5.84B,3.26%,1476561,1.07B
GIL,Gildan Activewear Inc.,5.80B,0.20%,308337,3.20B
MTH,Meritage Homes Corporation,5.76B,1.72%,340264,6.14B
THO,"Thor Industries, Inc.",5.68B,-0.52%,1216110,10.38B
GLBE,Global-e Online Ltd.,5.58B,3.04%,6780,569.95M
M,"Macy's, Inc.",5.58B,1.60%,5507878,23.87B
SON,Sonoco Products Company,5.55B,1.66%,206678,6.78B
MNSO,MINISO Group Holding Limited,5.45B,-3.29%,1351671,1.72B
HOG,"Harley-Davidson, Inc.",5.34B,1.24%,1333080,5.84B
CPRI,Capri Holdings Limited,5.34B,1.53%,539027,5.28B
ASO,"Academy Sports and Outdoors, Inc.",5.30B,-0.96%,2429,6.11B
KBH,KB Home,5.30B,2.13%,1240779,6.41B
PII,Polaris Inc.,5.23B,1.78%,485227,8.93B
SEE,Sealed Air Corporation,5.14B,1.36%,744412,5.49B
IGT,International Game Technology PLC,5.04B,1.74%,1100673,4.55B
AEO,"American Eagle Outfitters, Inc.",5.03B,-1.92%,16377694,5.08B
RH,RH,4.93B,1.30%,313949,3.06B
SKY,Skyline Champion Corporation,4.89B,1.77%,112178,1.98B
COLM,Columbia Sportswear Company,4.82B,0.71%,8,3.49B
DOOO,BRP Inc.,4.82B,0.55%,1175,7.85B
HGV,Hilton Grand Vacations Inc.,4.72B,-2.41%,603643,3.98B
MDC,"M.D.C. Holdings, Inc.",4.71B,-0.05%,1536920,4.64B
GME,GameStop Corp.,4.66B,-,1983209,5.71B
MOD,Modine Manufacturing Company,4.66B,-0.87%,775085,2.42B
SLGN,Silgan Holdings Inc.,4.58B,1.56%,769190,5.99B
SHAK,Shake Shack Inc.,4.43B,3.45%,1490059,1.09B
SIG,Signet Jewelers Limited,4.30B,1.82%,472702,7.34B
AAP,"Advance Auto Parts, Inc.",4.28B,2.48%,1607672,11.30B
ABG,"Asbury Automotive Group, Inc.",4.25B,1.81%,140012,14.80B
LOT,Lotus Technology Inc.,4.24B,9.39%,14827,139.59M
GOLF,Acushnet Holdings Corp.,4.08B,-0.38%,247331,2.38B
URBN,"Urban Outfitters, Inc.",3.89B,-0.29%,102,5.05B
WEN,The Wendy's Company,3.83B,-1.50%,727,2.18B
RUSHA,"Rush Enterprises, Inc.",3.77B,0.57%,236178,7.93B
PSNY,Polestar Automotive Holding UK PLC,3.76B,-2.25%,28572,2.83B
RUSHB,"Rush Enterprises, Inc.",3.74B,0.20%,11808,7.93B
TRIP,"Tripadvisor, Inc.",3.69B,-1.68%,339,1.79B
UA,"Under Armour, Inc.",3.63B,-0.73%,1939414,5.77B
UAA,"Under Armour, Inc.",3.63B,-0.93%,3431247,5.77B
DFH,"Dream Finders Homes, Inc.",3.58B,-0.47%,294588,3.75B
GPI,"Group 1 Automotive, Inc.",3.58B,1.43%,126023,17.87B
ZGN,Ermenegildo Zegna N.V.,3.55B,0.42%,719780,1.83B
MHO,"M/I Homes, Inc.",3.53B,0.54%,175331,4.03B
GT,The Goodyear Tire & Rubber Company,3.52B,2.65%,9350,20.07B
KTB,"Kontoor Brands, Inc.",3.40B,1.47%,596634,2.61B
YETI,"YETI Holdings, Inc.",3.39B,-0.13%,1431785,1.66B
PRKS,United Parks & Resorts Inc.,3.38B,-1.42%,651246,1.73B
SVV,"Savers Value Village, Inc.",3.37B,2.09%,1269797,1.48B
VAC,Marriott Vacations Worldwide Corporation,3.29B,-1.13%,317090,4.73B
TPH,"Tri Pointe Homes, Inc.",3.29B,0.99%,1141471,3.72B
MLCO,Melco Resorts & Entertainment Limited,3.28B,1.62%,1637,3.78B
ADNT,Adient plc,3.21B,1.99%,803945,15.36B
VC,Visteon Corporation,3.19B,1.11%,250810,3.95B
TNL,Travel + Leisure Co.,3.19B,-1.47%,296848,3.75B
CVCO,"Cavco Industries, Inc.",3.12B,2.41%,49922,1.85B
SHOO,"Steven Madden, Ltd.",3.11B,1.24%,846778,1.98B
CRI,"Carter's, Inc.",3.06B,0.28%,695797,2.95B
GEF.B,"Greif, Inc.",3.05B,1.40%,13155,5.15B
GEF,"Greif, Inc.",3.00B,0.41%,106367,5.15B
QS,QuantumScape Corporation,3.00B,-,4344857,-
KSS,Kohl's Corporation,2.97B,-1.18%,4268034,17.54B
ACVA,ACV Auctions Inc.,2.95B,-0.85%,5428,481.23M
LCII,LCI Industries,2.94B,0.59%,239034,3.78B
AIN,Albany International Corp.,2.93B,2.14%,60622,1.15B
LTH,"Life Time Group Holdings, Inc.",2.89B,4.33%,809533,2.22B
DORM,"Dorman Products, Inc.",2.84B,0.46%,536,1.93B
VSTS,Vestis Corporation,2.80B,2.70%,748456,-
BOOT,"Boot Barn Holdings, Inc.",2.76B,0.38%,444141,1.70B
LEG,"Leggett & Platt, Incorporated",2.75B,-0.82%,1128365,4.73B
JWN,"Nordstrom, Inc.",2.75B,-3.59%,7037354,14.59B
CCS,"Century Communities, Inc.",2.71B,1.85%,283528,3.69B
PENN,"PENN Entertainment, Inc.",2.70B,4.46%,25495,6.36B
LGIH,"LGI Homes, Inc.",2.67B,2.01%,52,2.36B
ZKH,ZKH Group Limited,2.63B,6.75%,-,1.16B
OI,"O-I Glass, Inc.",2.59B,4.20%,1691782,7.11B
BLMN,"Bloomin' Brands, Inc.",2.59B,0.58%,1522406,4.67B
MODG,Topgolf Callaway Brands Corp.,2.56B,0.79%,1196862,4.28B
ATAT,Atour Lifestyle Holdings Limited,2.51B,-3.50%,1301,520.90M
PATK,"Patrick Industries, Inc.",2.50B,-0.12%,342795,3.47B
ARCO,Arcos Dorados Holdings Inc.,2.44B,-1.70%,437296,4.18B
MCW,"Mister Car Wash, Inc.",2.44B,2.39%,1185046,927.07M
DRVN,Driven Brands Holdings Inc.,2.42B,6.82%,1755,2.30B
GRBK,"Green Brick Partners, Inc.",2.40B,1.17%,452784,1.78B
FTDR,"Frontdoor, Inc.",2.39B,2.85%,1230725,1.78B
PTVE,Pactiv Evergreen Inc.,2.36B,2.15%,1215,5.51B
GTX,Garrett Motion Inc.,2.30B,-1.04%,4730,3.89B
PZZA,"Papa John's International, Inc.",2.29B,-1.73%,527722,2.14B
FL,"Foot Locker, Inc.",2.29B,0.41%,9361115,8.13B
MBC,"MasterBrand, Inc.",2.24B,3.12%,977190,2.73B
SIX,Six Flags Entertainment Corporation,2.22B,0.30%,771439,1.43B
FUN,"Cedar Fair, L.P.",2.22B,0.87%,327231,1.80B
MLKN,"MillerKnoll, Inc.",2.15B,0.58%,879109,3.81B
EAT,"Brinker International, Inc.",2.15B,-0.23%,1068448,4.25B
FOXF,Fox Factory Holding Corp.,2.13B,0.61%,9986,1.46B
SG,"Sweetgreen, Inc.",2.09B,-0.59%,2655635,584.04M
AMBP,Ardagh Metal Packaging S.A.,2.06B,5.20%,1462220,4.81B
ARHS,"Arhaus, Inc.",2.02B,12.09%,3377,1.30B
HBI,Hanesbrands Inc.,1.96B,1.83%,10017346,5.64B
BKE,"The Buckle, Inc.",1.94B,0.91%,450210,1.28B
ODP,The ODP Corporation,1.89B,-0.43%,257678,7.83B
CAKE,The Cheesecake Factory Incorporated,1.89B,-0.70%,1861,3.44B
WGO,"Winnebago Industries, Inc.",1.88B,-0.33%,687632,3.30B
VSTO,Vista Outdoor Inc.,1.86B,1.74%,399152,2.79B
SAH,"Sonic Automotive, Inc.",1.83B,4.74%,226820,14.37B
EYE,"National Vision Holdings, Inc.",1.82B,2.60%,34702,2.13B
DAN,Dana Incorporated,1.81B,0.89%,2295120,10.56B
LVWR,"LiveWire Group, Inc.",1.81B,-6.41%,28442,38.02M
SGHC,Super Group (SGHC) Limited,1.79B,2.28%,564754,1.49B
THRM,Gentherm Incorporated,1.76B,-0.25%,122624,1.47B
KAR,Openlane Inc.,1.69B,-0.83%,367524,1.65B
OXM,"Oxford Industries, Inc.",1.63B,0.43%,246498,1.55B
PTON,"Peloton Interactive, Inc.",1.61B,2.73%,56968,2.73B
CNNE,"Cannae Holdings, Inc.",1.59B,0.46%,525323,570.00M
BYON,"Beyond, Inc.",1.58B,-1.14%,1114859,1.56B
PHIN,PHINIA Inc.,1.58B,-2.29%,931917,3.50B
LZB,La-Z-Boy Incorporated,1.55B,0.58%,420005,2.05B
CBRL,"Cracker Barrel Old Country Store, Inc.",1.53B,0.03%,1730,3.43B
AMWD,American Woodmark Corporation,1.52B,1.56%,107438,1.88B
RVLV,"Revolve Group, Inc.",1.50B,-8.47%,1152315,1.07B
FWRG,"First Watch Restaurant Group, Inc.",1.49B,1.22%,16610,891.55M
