Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PSMT,"PriceSmart, Inc.",2.56B,1.06%,144234,4.52B
SPB,"Spectrum Brands Holdings, Inc.",2.51B,1.05%,322548,2.90B
AKO.B,Embotelladora Andina S.A.,2.44B,-1.69%,14925,3.12B
COUR,"Coursera, Inc.",2.36B,0.27%,1275673,635.76M
TBBB,BBB Foods Inc.,2.36B,-3.58%,984952,2.34B
SOVO,"Sovos Brands, Inc.",2.33B,0.13%,1743056,1.02B
AKO.A,Embotelladora Andina S.A.,2.28B,0.43%,387,3.12B
DNUT,"Krispy Kreme, Inc.",2.17B,1.10%,618,1.69B
LAUR,"Laureate Education, Inc.",2.13B,1.41%,1000,1.48B
CCU,Compania Cervecerias Unidas S.A.,2.13B,1.87%,88826,3.19B
THS,"TreeHouse Foods, Inc.",1.94B,-0.36%,376891,3.43B
ATGE,Adtalem Global Education Inc.,1.92B,2.64%,320625,1.50B
EPC,Edgewell Personal Care Company,1.91B,2.62%,298334,2.27B
ANDE,"The Andersons, Inc.",1.82B,1.60%,1182,14.75B
GOTU,Gaotu Techedu Inc.,1.82B,-3.16%,5085972,417.60M
MGPI,"MGP Ingredients, Inc.",1.82B,1.94%,158427,836.52M
AFYA,Afya Limited,1.82B,-0.20%,13,547.10M
WMK,"Weis Markets, Inc.",1.78B,0.41%,59097,4.70B
UDMY,"Udemy, Inc.",1.74B,0.09%,801911,728.94M
VGR,Vector Group Ltd.,1.74B,1.01%,517438,1.42B
CHEF,"The Chefs' Warehouse, Inc.",1.49B,-0.08%,3116,3.43B
IMKTA,"Ingles Markets, Incorporated",1.45B,-0.14%,66298,5.88B
UTZ,"Utz Brands, Inc.",1.42B,-0.51%,640357,1.44B
COCO,"The Vita Coco Company, Inc.",1.41B,-1.86%,16828,493.61M
TR,"Tootsie Roll Industries, Inc.",1.32B,-1.04%,67985,769.37M
UVV,Universal Corporation,1.23B,0.72%,281612,2.67B
JBSS,"Sanfilippo (John B.) & Son, Inc",1.20B,-1.19%,73516,998.08M
KLG,WK Kellogg Co,1.17B,-1.02%,316,-
FDP,Fresh Del Monte Produce Inc.,1.17B,0.91%,174264,4.32B
PRDO,Perdoceo Education Corporation,1.14B,-0.29%,319303,710.00M
DOLE,Dole plc,1.09B,1.56%,550897,8.25B
NAPA,"The Duckhorn Portfolio, Inc.",1.09B,1.40%,1401081,396.89M
AGRO,Adecoagro S.A.,1.07B,-0.89%,255933,1.41B
BRCC,BRC Inc.,994.29M,20.48%,2512803,369.59M
USNA,"USANA Health Sciences, Inc.",934.32M,2.06%,86588,921.01M
EWCZ,"European Wax Center, Inc.",898.20M,-3.52%,49,221.02M
BGS,"B&G Foods, Inc.",869.58M,-0.54%,1202481,2.06B
HLF,Herbalife Nutrition Ltd.,855.64M,3.73%,847595,5.06B
HAIN,"The Hain Celestial Group, Inc.",837.24M,-0.53%,3368,1.78B
WEST,"Westrock Coffee Company, LLC",833.73M,-1.69%,275402,877.47M
CHGG,"Chegg, Inc.",818.44M,3.65%,2033633,716.30M
UTI,"Universal Technical Institute, Inc.",814.31M,-1.45%,329849,662.10M
