Symbol,Company Name,Market Cap,% Change,Volume,Revenue
JBL,Jabil Inc.,19.54B,0.87%,1027926,33.45B
STX,Seagate Technology Holdings plc,19.34B,-0.35%,41324,6.47B
VRSN,"VeriSign, Inc.",19.31B,0.68%,5,1.49B
OKTA,"Okta, Inc.",18.75B,2.38%,7834,2.26B
ERIC,Telefonaktiebolaget LM Ericsson (publ),18.69B,0.18%,26847,26.11B
IOT,Samsara Inc.,18.56B,3.03%,5791638,847.69M
CHKP,Check Point Software Technologies Ltd.,18.53B,0.42%,2201,2.41B
EPAM,"EPAM Systems, Inc.",18.19B,1.49%,548755,4.69B
PSTG,"Pure Storage, Inc.",17.94B,0.40%,3377080,2.83B
TYL,"Tyler Technologies, Inc.",17.94B,0.53%,121851,1.95B
LDOS,"Leidos Holdings, Inc.",17.63B,-0.03%,695872,15.44B
ENPH,"Enphase Energy, Inc.",17.61B,3.45%,53463,2.29B
SWKS,"Skyworks Solutions, Inc.",17.27B,3.16%,5574,4.64B
AKAM,"Akamai Technologies, Inc.",17.10B,2.42%,2440,3.81B
FSLR,"First Solar, Inc.",17.06B,1.22%,22619,3.32B
MANH,"Manhattan Associates, Inc.",16.38B,4.42%,473,928.73M
TER,"Teradyne, Inc.",16.34B,3.04%,1531,2.68B
GDDY,GoDaddy Inc.,16.25B,3.88%,1989363,4.25B
NTNX,"Nutanix, Inc.",15.77B,1.15%,4904,2.02B
SSNC,"SS&C Technologies Holdings, Inc.",15.45B,-0.19%,844852,5.50B
NICE,NICE Ltd.,15.40B,0.81%,212451,2.38B
TRMB,Trimble Inc.,15.34B,0.11%,189,3.80B
ZBRA,Zebra Technologies Corporation,14.83B,0.46%,8,4.58B
BSY,"Bentley Systems, Incorporated",14.72B,-0.38%,22578,1.23B
HOOD,"Robinhood Markets, Inc.",14.31B,-0.24%,262612,1.87B
LOGI,Logitech International S.A.,13.86B,1.44%,2280,4.25B
DT,"Dynatrace, Inc.",13.71B,1.14%,10501560,1.36B
GEN,Gen Digital Inc.,13.70B,1.96%,14274,3.79B
TOST,"Toast, Inc.",13.60B,-0.24%,5865908,3.87B
AZPN,"Aspen Technology, Inc.",13.37B,7.49%,316146,1.06B
PATH,UiPath Inc.,13.36B,1.77%,7293221,1.21B
FLEX,Flex Ltd.,12.90B,-0.42%,2181,29.39B
JKHY,"Jack Henry & Associates, Inc.",12.70B,0.01%,233271,2.16B
GRAB,Grab Holdings Limited,12.55B,3.23%,132711,2.36B
JNPR,"Juniper Networks, Inc.",12.14B,-0.24%,1850158,5.56B
ZI,ZoomInfo Technologies Inc.,11.57B,2.73%,996,1.24B
QRVO,"Qorvo, Inc.",11.50B,2.50%,238,3.46B
LSCC,Lattice Semiconductor Corporation,11.50B,3.48%,752,737.15M
PCOR,"Procore Technologies, Inc.",11.43B,1.76%,916941,950.01M
FFIV,"F5, Inc.",11.35B,1.27%,659,2.81B
AFRM,"Affirm Holdings, Inc.",11.28B,-0.76%,241783,1.91B
CYBR,CyberArk Software Ltd.,11.01B,1.37%,6616,751.89M
DOCU,"DocuSign, Inc.",10.92B,2.08%,428501,2.71B
DOX,Amdocs Limited,10.90B,2.12%,688386,4.95B
ESTC,Elastic N.V.,10.77B,-1.43%,2480884,1.21B
MNDY,monday.com Ltd.,10.54B,1.01%,3596,729.70M
U,Unity Software Inc.,10.47B,1.03%,6175229,2.19B
CFLT,"Confluent, Inc.",10.40B,-1.42%,15584,776.95M
DAY,Dayforce Inc,10.39B,3.09%,861866,1.51B
OTEX,Open Text Corporation,10.34B,2.82%,550771,5.70B
PAYC,"Paycom Software, Inc.",9.95B,3.30%,738824,1.69B
COHR,"Coherent, Inc.",9.74B,-0.62%,2650598,4.63B
WEX,WEX Inc.,9.56B,1.52%,274829,2.55B
ONTO,Onto Innovation Inc.,9.52B,3.32%,255700,815.87M
INFA,Informatica Inc.,9.48B,0.72%,1004916,1.60B
GWRE,"Guidewire Software, Inc.",9.44B,1.45%,915990,917.47M
PCTY,Paylocity Holding Corporation,9.37B,-0.01%,3,1.29B
GTLB,GitLab Inc.,9.31B,-3.81%,13364,579.91M
GLOB,Globant S.A.,9.23B,0.94%,620939,2.10B
SNX,TD SYNNEX Corporation,9.19B,-0.80%,334730,57.56B
DUOL,"Duolingo, Inc.",9.08B,-0.18%,5128,531.11M
CIEN,Ciena Corporation,8.98B,-14.72%,13553805,4.37B
MKSI,"MKS Instruments, Inc.",8.94B,3.81%,205,3.62B
AMKR,"Amkor Technology, Inc.",8.87B,2.65%,28560,6.50B
NXT,Nextracker Inc.,8.58B,1.37%,6337,2.28B
CACI,CACI International Inc,8.46B,0.72%,94108,7.13B
DBX,"Dropbox, Inc.",8.31B,1.47%,13332,2.50B
APPF,"AppFolio, Inc.",8.22B,1.62%,7593,620.45M
FN,Fabrinet,8.17B,-2.07%,398373,2.72B
WIX,Wix.com Ltd.,8.16B,2.45%,750,1.56B
S,"SentinelOne, Inc.",8.11B,1.42%,3154379,573.08M
