Symbol,Company Name,Market Cap,% Change,Volume,Revenue
GNE,Genie Energy Ltd.,513.81M,-0.43%,96445,405.18M
YORW,The York Water Company,504.99M,-0.09%,5,71.03M
CWCO,Consolidated Water Co. Ltd.,466.60M,0.24%,52520,155.39M
ARTNA,Artesian Resources Corporation,366.56M,0.20%,1,99.43M
SMR,NuScale Power Corporation,323.99M,5.69%,2204199,21.69M
GWRS,"Global Water Resources, Inc.",308.43M,-5.07%,23133,53.03M
NRGV,"Energy Vault Holdings, Inc.",254.08M,2.31%,286937,323.63M
PCYO,Pure Cycle Corporation,239.12M,1.95%,25915,18.63M
ELLO,Ellomay Capital Ltd.,218.49M,-2.91%,7457,52.91M
RGCO,"RGC Resources, Inc.",198.69M,0.31%,8675,88.58M
CDZI,Cadiz Inc.,188.12M,-2.76%,613,1.88M
VIA,"Via Renewables, Inc.",78.62M,0.18%,9110,435.19M
VGAS,"Verde Clean Fuels, Inc.",42.06M,-6.28%,9099,-
ALCE,Alternus Energy Group Plc,32.20M,-8.28%,6171,44.51M
HTOO,Fusion Fuel Green PLC,30.12M,-9.33%,4339,-
ADN,"Advent Technologies Holdings, Inc.",15.63M,-0.74%,9630,5.31M
CREG,Smart Powerr Corp.,11.35M,3.55%,37195,-
BNRG,Brenmiller Energy Ltd,7.39M,0.22%,4861,580.00K
WAVE,Eco Wave Power Global AB (publ),7.27M,-0.76%,6030,27.00K
