Symbol,Company Name,Market Cap,% Change,Volume,Revenue
OC,Owens Corning,13.34B,3.09%,603130,9.68B
BLD,TopBuild Corp.,13.28B,1.50%,331144,5.19B
GFL,GFL Environmental Inc.,12.96B,1.09%,1200613,5.65B
WMS,"Advanced Drainage Systems, Inc.",12.88B,1.48%,311118,2.84B
TFII,TFI International Inc.,12.79B,0.48%,383867,7.52B
AOS,A. O. Smith Corporation,12.74B,2.54%,750779,3.85B
UHAL.B,U-Haul Holding Company,12.68B,3.73%,-,5.72B
UHAL,U-Haul Holding Company,12.48B,3.51%,101551,5.72B
ACM,AECOM,12.25B,1.31%,649931,14.90B
HII,"Huntington Ingalls Industries, Inc.",11.55B,-0.73%,212061,11.45B
NVT,nVent Electric plc,11.44B,0.68%,801314,3.26B
ALLE,Allegion plc,11.38B,2.72%,345,3.65B
RRX,Regal Rexnord Corporation,11.24B,1.17%,514395,6.25B
FIX,"Comfort Systems USA, Inc.",11.19B,0.32%,481616,5.21B
ITT,ITT Inc.,10.50B,0.75%,263138,3.28B
CLH,"Clean Harbors, Inc.",10.29B,0.40%,120716,5.41B
FBIN,"Fortune Brands Innovations, Inc.",10.27B,1.66%,669252,4.63B
TREX,"Trex Company, Inc.",10.27B,1.29%,556832,1.09B
TTEK,"Tetra Tech, Inc.",9.98B,1.53%,3,4.86B
CNM,"Core & Main, Inc.",9.87B,1.52%,1159193,6.64B
TTC,The Toro Company,9.79B,-5.54%,1657736,4.41B
AAL,American Airlines Group Inc.,9.76B,0.13%,177031,52.79B
BWXT,"BWX Technologies, Inc.",9.62B,-0.05%,716851,2.50B
STN,Stantec Inc.,9.62B,2.20%,83550,3.81B
ESLT,Elbit Systems Ltd.,9.56B,0.24%,24693,5.86B
APG,APi Group Corporation,9.52B,2.27%,1297643,6.93B
CW,Curtiss-Wright Corporation,9.28B,0.46%,145964,2.85B
SSD,"Simpson Manufacturing Co., Inc.",9.12B,1.21%,123197,2.21B
WWD,"Woodward, Inc.",9.01B,0.71%,251828,3.08B
WSC,WillScot Mobile Mini Holdings Corp.,8.96B,0.75%,988183,2.36B
KNX,Knight-Swift Transportation Holdings Inc.,8.93B,2.32%,1449839,7.14B
DCI,"Donaldson Company, Inc.",8.87B,0.30%,383168,3.48B
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.84B,-1.10%,61917,1.30B
PSN,Parsons Corporation,8.76B,-0.74%,735457,5.44B
IEP,Icahn Enterprises L.P.,8.55B,0.25%,68664,10.85B
CHRW,"C.H. Robinson Worldwide, Inc.",8.49B,0.90%,1538304,17.60B
AGCO,AGCO Corporation,8.43B,1.88%,625080,14.41B
KBR,"KBR, Inc.",8.39B,0.66%,1032941,6.96B
RHI,Robert Half International Inc.,8.38B,0.78%,692100,6.39B
ARMK,Aramark,8.30B,1.77%,2742222,18.66B
MIDD,The Middleby Corporation,8.29B,0.73%,70,4.04B
WCC,"WESCO International, Inc.",8.17B,3.50%,1085721,22.39B
SITE,"SiteOne Landscape Supply, Inc.",8.09B,2.42%,248493,4.30B
AYI,"Acuity Brands, Inc.",7.92B,-1.29%,302213,3.89B
RBC,RBC Bearings Incorporated,7.89B,-0.16%,110434,1.54B
BZ,Kanzhun Limited,7.39B,1.19%,199,750.22M
FCN,"FTI Consulting, Inc.",7.32B,-0.28%,196128,3.49B
MSA,MSA Safety Incorporated,7.31B,-0.11%,66772,1.79B
OSK,Oshkosh Corporation,7.28B,2.46%,419465,9.66B
MTZ,"MasTec, Inc.",7.25B,3.23%,961496,12.00B
AZEK,The AZEK Company Inc.,7.23B,-0.06%,1644842,1.39B
PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.18B,-0.08%,48020,1.41B
AIT,"Applied Industrial Technologies, Inc.",7.11B,0.65%,241685,4.46B
WTS,"Watts Water Technologies, Inc.",6.87B,0.93%,58601,2.06B
