Symbol,Company Name,Market Cap,% Change,Volume,Revenue
STNG,Scorpio Tankers Inc.,3.63B,2.03%,741483,1.34B
LBRT,Liberty Energy Inc.,3.61B,1.88%,2430508,4.75B
EURN,Euronav NV,3.59B,-0.11%,3948834,1.63B
VIST,"Vista Energy, SAB de CV",3.59B,-3.08%,408341,1.17B
BTU,Peabody Energy Corporation,3.44B,2.52%,3461639,4.95B
CRC,California Resources Corporation,3.41B,-8.06%,2434539,2.80B
CVI,"CVR Energy, Inc.",3.36B,4.50%,695645,9.25B
ARCH,"Arch Resources, Inc.",3.32B,0.09%,591886,3.15B
SDRL,Seadrill Limited,3.29B,3.57%,1005053,1.50B
BSM,"Black Stone Minerals, L.P.",3.27B,0.71%,373394,592.22M
CNX,CNX Resources Corporation,3.19B,-0.61%,2061181,3.43B
WHD,"Cactus, Inc.",3.07B,3.83%,782325,1.10B
NS,NuStar Energy L.P.,3.05B,-1.28%,481948,1.63B
TRMD,TORM plc,3.00B,-1.66%,16422,1.52B
AROC,"Archrock, Inc.",2.81B,-0.82%,1088049,990.34M
CEIX,CONSOL Energy Inc.,2.80B,1.96%,541163,2.57B
USAC,"USA Compression Partners, LP",2.74B,-1.04%,247254,846.18M
UEC,Uranium Energy Corp.,2.66B,5.28%,6061440,107.21M
BTE,Baytex Energy Corp.,2.63B,0.31%,9040197,2.04B
GPOR,Gulfport Energy Corporation,2.61B,2.10%,128390,1.05B
INSW,"International Seaways, Inc.",2.61B,0.11%,1179230,1.07B
KOS,Kosmos Energy Ltd.,2.58B,-2.15%,13846828,1.70B
ARLP,"Alliance Resource Partners, L.P.",2.52B,2.44%,244,2.57B
CRK,"Comstock Resources, Inc.",2.40B,-2.55%,4098418,1.57B
TALO,Talos Energy Inc.,2.35B,-2.42%,2341889,1.46B
TGS,Transportadora de Gas del Sur S.A.,2.30B,-3.77%,261872,932.68M
GLNG,Golar LNG Limited,2.21B,-0.89%,670,267.74M
PARR,"Par Pacific Holdings, Inc.",2.16B,3.84%,1230623,8.23B
CPE,Callon Petroleum Company,2.11B,-0.41%,530626,2.34B
XPRO,Expro Group Holdings N.V.,2.05B,2.31%,549057,1.51B
OII,"Oceaneering International, Inc.",2.02B,1.79%,554225,2.42B
AESI,Atlas Energy Solutions Inc.,2.00B,-1.72%,1308086,613.96M
KNTK,Kinetik Holdings Inc.,1.96B,2.65%,416541,1.26B
DKL,"Delek Logistics Partners, LP",1.94B,-1.00%,35031,1.02B
CRGY,Crescent Energy Company,1.91B,-5.67%,6763435,2.38B
TNK,Teekay Tankers Ltd.,1.83B,-0.65%,298434,1.36B
VET,Vermilion Energy Inc.,1.83B,-4.65%,3730746,1.51B
KGS,"Kodiak Gas Services, Inc.",1.82B,-5.74%,831059,850.38M
HPK,"HighPeak Energy, Inc.",1.80B,-9.67%,828,1.11B
DHT,"DHT Holdings, Inc.",1.79B,-0.18%,804089,560.56M
VTLE,"Vital Energy, Inc.",1.78B,-0.24%,421910,1.47B
MNR,Mach Natural Resources LP,1.73B,1.33%,137400,817.06M
DNN,Denison Mines Corp.,1.71B,7.69%,14549314,1.39M
DK,"Delek US Holdings, Inc.",1.67B,2.97%,587442,16.92B
GLP,Global Partners LP,1.65B,-0.91%,107455,16.49B
KRP,"Kimbell Royalty Partners, LP",1.63B,1.17%,282650,294.07M
RES,"RPC, Inc.",1.62B,2.87%,1130413,1.62B
BORR,Borr Drilling Limited,1.59B,4.62%,1924069,771.60M
DNOW,NOW Inc.,1.56B,1.78%,818487,2.32B
LPG,Dorian LPG Ltd.,1.53B,2.90%,602726,552.96M
WKC,World Kinect Corporation,1.45B,0.54%,233155,47.71B
GEL,"Genesis Energy, L.P.",1.44B,-1.86%,172430,3.18B
HLX,"Helix Energy Solutions Group, Inc.",1.42B,2.35%,1114823,1.29B
FLNG,FLEX LNG Ltd.,1.35B,1.20%,267477,371.02M
NEXT,NextDecade Corporation,1.34B,-1.14%,1253062,-
ACDC,ProFrac Holding Corp.,1.32B,1.41%,7307,2.93B
DMLP,"Dorchester Minerals, L.P.",1.25B,0.77%,50769,163.80M
DO,"Diamond Offshore Drilling, Inc.",1.25B,3.48%,1178606,1.06B
CLMT,"Calumet Specialty Products Partners, L.P.",1.24B,-1.04%,58010,4.18B
NRP,Natural Resource Partners L.P.,1.18B,-0.95%,64526,370.01M
NVGS,Navigator Holdings Ltd.,1.09B,1.15%,130145,532.39M
UUUU,Energy Fuels Inc.,1.05B,5.08%,3514732,37.93M
MRC,MRC Global Inc.,1.02B,0.42%,479000,3.41B
WTTR,"Select Energy Services, Inc.",999.08M,0.71%,1010185,1.59B
PDS,Precision Drilling Corporation,915.48M,1.44%,43704,1.46B
SBR,Sabine Royalty Trust,883.60M,0.23%,32751,92.78M
SLCA,"U.S. Silica Holdings, Inc.",881.61M,1.86%,436539,1.55B
CAPL,CrossAmerica Partners LP,848.92M,0.95%,26317,4.39B
PUMP,ProPetro Holding Corp.,805.25M,3.22%,1320998,1.63B
NBR,Nabors Industries Ltd.,803.80M,4.53%,185380,3.05B
NGL,NGL Energy Partners LP,784.48M,-1.51%,293404,7.38B
SBOW,"SilverBow Resources, Inc.",779.93M,-0.33%,252480,652.36M
EFXT,Enerflex Ltd.,778.45M,-0.16%,128121,2.38B
DRQ,"Dril-Quip, Inc.",773.97M,0.54%,112596,424.06M
VTOL,Bristow Group Inc.,747.43M,-,81446,1.30B
EU,enCore Energy Corp.,742.93M,4.12%,793611,-
CLB,Core Laboratories N.V.,727.03M,2.50%,317249,509.79M
TNP,Tsakos Energy Navigation Limited,706.36M,1.27%,214061,860.40M
VTS,"Vitesse Energy, Inc.",680.09M,0.43%,148660,233.91M
NOA,North American Construction Group Ltd.,671.90M,1.67%,36892,640.25M
TK,Teekay Corporation,658.88M,0.42%,356708,1.52B
LEU,Centrus Energy Corp.,645.99M,2.21%,215035,320.20M
TELL,Tellurian Inc.,634.21M,-6.85%,44940293,166.13M
CLNE,Clean Energy Fuels Corp.,602.17M,0.75%,2095,425.16M
DEC,Diversified Energy Company PLC,571.39M,-,13727,-
TXO,TXO Partners L.P.,570.11M,-0.05%,18834,380.72M
NR,"Newpark Resources, Inc.",568.30M,1.52%,352886,749.60M
REPX,"Riley Exploration Permian, Inc.",564.99M,14.91%,165030,375.05M
